region,code5
서울특별시종로구,11110
서울특별시중구,11140
서울특별시용산구,11170
서울특별시성동구,11200
서울특별시광진구,11215
서울특별시동대문구,11230
서울특별시중랑구,11260
서울특별시성북구,11290
서울특별시강북구,11305
서울특별시도봉구,11320
서울특별시노원구,11350
서울특별시은평구,11380
서울특별시서대문구,11410
서울특별시마포구,11440
서울특별시양천구,11470
서울특별시강서구,11500
서울특별시구로구,11530
서울특별시금천구,11545
서울특별시영등포구,11560
서울특별시동작구,11590
서울특별시관악구,11620
서울특별시서초구,11650
서울특별시강남구,11680
서울특별시송파구,11710
서울특별시강동구,11740
인천광역시중구,28110
인천광역시동구,28140
인천광역시미추홀구,28177
인천광역시연수구,28185
인천광역시남동구,28200
인천광역시부평구,28237
인천광역시계양구,28245
인천광역시서구,28260
인천광역시강화군,28710
세종특별자치시,36110
경기도수원시,41111
경기도수원시,41113
경기도수원시,41115
경기도수원시,41117
경기도성남시,41131
경기도성남시,41133
경기도성남시,41135
경기도의정부시,41150
경기도안양시,41171
경기도안양시,41173
경기도부천시,41190
경기도광명시,41210
경기도평택시,41220
경기도동두천시,41250
경기도안산시,41271
경기도안산시,41273
경기도고양시,41281
경기도고양시,41285
경기도고양시,41287
경기도과천시,41290
경기도구리시,41310
경기도남양주시,41360
경기도오산시,41370
경기도시흥시,41390
경기도군포시,41410
경기도의왕시,41430
경기도하남시,41450
경기도용인시,41461
경기도용인시,41463
경기도용인시,41465
경기도파주시,41480
경기도이천시,41500
경기도안성시,41550
경기도김포시,41570
경기도화성시,41590
경기도광주시,41610
경기도양주시,41630
경기도포천시,41650
경기도여주시,41670
경기도연천군,41800
경기도가평군,41820
경기도양평군,41830
